0;In La Coruña brach Alexander von Humboldt 1799 zu seiner ersten Forschungsreise auf. Mit welchem Schiff startete er seine Reise in Spanien?;mit dem Postschiff "Pizarro";mit dem Piratenschiff "Schwarzer Säbel";mit dem Ruderboot "Flotte Lotte"
0;Im Juni 1799 kam Alexander von Humboldt im Hafen von Cumaná in Venezuela an. In Venezuela hat er viele neue Pflanzen im Regenwald entdeckt. Welche, heute sehr bekannte, südamerikanische Pflanze hat Alexander von Humboldt mit seinen Kollegen als erstes beschrieben?;die Pfirsichpalme;den Gummibärchenbaum;den Apfelkaktus
0;Humboldts Forschungsreise führte ihn 1804 weiter nach Mexiko, wo er mehrere Vulkane bestiegen hat. Wie heißt einer der Vulkane, den Alexander von Humboldt in Mexiko erkundet hat?;Popocatépetl (heißt "stark rauchender Berg");Pipizacka-Hügel;Huibuuh-Bergspitze
0;1829 machte Alexander von Humboldt eine zweite große Forschungsreise nach Russland. Was hat er im Ural in Russland gefunden?;Diamanten;eine Schatzkiste voll Silbermünzen;Graf Draculas Goldzähne
0;Alexander von Humboldt war einer der berühmtesten Naturwissenschaftler der Welt, überall sind ihm zu Ehren viele Dinge benannt. In Neuseeland wurde etwas ganz besonderes nach Alexander von Humboldt benannt. Was ist es?;ein Wasserfall ("Humboldt Falls").";ein Stein;ein Fahrrad
1;In La Coruña brach Alexander von Humboldt 1799 zu seiner ersten Forschungsreise auf. Mit welchem Schiff ist er gefahren? Mit einem...;... gelben Schiff;... blauen Schiff;... roten Schiff
1;Im Juni 1799 kam Alexander von Humboldt im Hafen von Cumaná in Venezuela an. In Venezuela hat er viele neue Pflanzen im Regenwald entdeckt. Was hat Alexander von Humboldt entdeckt?;einen großen Baum;eine Wiese;ein Gebüsch
1;Humboldts Forschungsreise führte ihn 1804 weiter nach Mexiko, wo er mehrere Vulkane bestiegen hat. Was hat Alexander von Humboldt in Mexiko gesehen?;einen Berg;ein Haus;einen Teddybär
1;1829 machte Alexander von Humboldt eine zweite große Forschungsreise nach Russland. Was hat er in Russland gefunden?;Glitzersteine;einen Stock;einen Ball
1;Alexander von Humboldt war einer der berühmtesten Naturwissenschaftler der Welt, überall sind ihm zu Ehren viele Dinge benannt. In Neuseeland wurde etwas ganz besonderes nach Alexander von Humboldt benannt. Was ist es?;ein Wasserfall ("Humboldt Falls").";ein Stein;ein Fahrrad
